custom/best_energy,env73/episode_return_disc,env70/episode_return_disc,env39/episode_return_disc,env31/episode_return,env45/episode_return_disc,env60/episode_return,env35/episode_return_disc,env75/episode_return_disc,env21/episode_return_disc,env28/episode_return,env43/episode_return,env52/episode_return_disc,env2/episode_return,env68/episode_return,env7/episode_return_disc,env79/episode_return,env9/episode_return,env16/episode_return,env38/episode_return_disc,env1/episode_return_disc,env64/episode_return,env36/episode_return,env78/episode_return_disc,env3/episode_return,env43/episode_return_disc,env59/episode_return,env65/episode_return,env44/episode_return,env48/episode_return,env10/episode_return_disc,env22/episode_return_disc,env77/episode_return,env40/episode_return,env14/episode_return,env5/episode_return,env32/episode_return_disc,env7/episode_return,env56/episode_return,env34/episode_return_disc,env18/episode_return,env49/episode_return_disc,env45/episode_return,env13/episode_return,env74/episode_return_disc,env52/episode_return,env79/episode_return_disc,env64/episode_return_disc,env15/episode_return_disc,env40/episode_return_disc,env23/episode_return,env16/episode_return_disc,env24/episode_return_disc,env12/episode_return_disc,env47/episode_return,env63/episode_return,env34/episode_return,env19/episode_return_disc,env20/episode_return,env19/episode_return,env58/episode_return,env20/episode_return_disc,env62/episode_return_disc,env13/episode_return_disc,env5/episode_return_disc,env49/episode_return,env60/episode_return_disc,env18/episode_return_disc,env48/episode_return_disc,env73/episode_return,env10/episode_return,env77/episode_return_disc,env71/episode_return_disc,env0/episode_return_disc,env35/episode_return,env58/episode_return_disc,env6/episode_return,env24/episode_return,env57/episode_return_disc,env8/episode_return_disc,env57/episode_return,env41/episode_return,env54/episode_return,env37/episode_return_disc,env46/episode_return,env29/episode_return,env70/episode_return,env56/episode_return_disc,env4/episode_return,env72/episode_return,env23/episode_return_disc,env4/episode_return_disc,env27/episode_return,env75/episode_return,env74/episode_return,env67/episode_return_disc,env62/episode_return,env50/episode_return_disc,env41/episode_return_disc,env6/episode_return_disc,env51/episode_return_disc,env66/episode_return,env46/episode_return_disc,env67/episode_return,env17/episode_return,env1/episode_return,env33/episode_return_disc,env26/episode_return_disc,env33/episode_return,env11/episode_return_disc,env29/episode_return_disc,env50/episode_return,env26/episode_return,env69/episode_return,env25/episode_return_disc,env36/episode_return_disc,env68/episode_return_disc,env28/episode_return_disc,env30/episode_return,env37/episode_return,env44/episode_return_disc,env71/episode_return,env14/episode_return_disc,env25/episode_return,env0/episode_return,env42/episode_return_disc,env21/episode_return,env55/episode_return_disc,env32/episode_return,env59/episode_return_disc,env38/episode_return,env55/episode_return,env39/episode_return,env53/episode_return,env72/episode_return_disc,env65/episode_return_disc,env3/episode_return_disc,env30/episode_return_disc,env63/episode_return_disc,env22/episode_return,env12/episode_return,env76/episode_return_disc,env15/episode_return,env51/episode_return,env66/episode_return_disc,env76/episode_return,env54/episode_return_disc,env61/episode_return_disc,env27/episode_return_disc,env69/episode_return_disc,env17/episode_return_disc,env8/episode_return,env11/episode_return,env2/episode_return_disc,env47/episode_return_disc,env78/episode_return,env9/episode_return_disc,env42/episode_return,env53/episode_return_disc,env61/episode_return,env31/episode_return_disc,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.270347595214844,18.270347595214844,18.270347595214844,20.0,13.050248146057129,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,14.285714149475098,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,40000,10.0,20.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,,,19.94285714,25,3728,10,10.0,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8122483640909195,-0.013153365600737743,0.09025034736841916,100,0.24937500436790289,-0.052866239100694656,0.0003,0.028647605,-4.519204390048981
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,15.225289344787598,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,16.66666603088379,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,41600,10.0,20.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41600,,,20.0,26,3822,10,10.0,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8274298757314682,0.0068471994090941735,0.05732320537790656,104,0.1654687526752241,-0.00513887032866478,0.0003,0.021301141,-4.400001132488251
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,20.0,18.270347595214844,18.270347595214844,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,20.0,20.0,20.0,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,20.0,20.0,18.270347595214844,20.0,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,18.270347595214844,20.0,20.0,18.270347595214844,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,20.0,18.270347595214844,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
